occurrenceID,nameComplete,decimalLongitude,decimalLatitude
463389299,Crassostrea gigas,-5.6439,54.51797
323596408,Crassostrea gigas,-3.92275,48.69744
672447685,Crassostrea gigas,-0.67394,54.50805
463393992,Crassostrea gigas,-5.53713,54.49517
323561743,Crassostrea gigas,-2.96786,48.76745
463393081,Crassostrea gigas,-5.64087,54.49005
672447495,Crassostrea gigas,-0.58664,54.48639
672452266,Crassostrea gigas,-0.5299,54.43268
373822524,Crassostrea gigas,-3.56634,54.44944
323598656,Crassostrea gigas,-1.57884,48.7823
323598741,Crassostrea gigas,-1.58568,48.8023
323589307,Crassostrea gigas,-3.10951,48.8841
14892100,Crassostrea gigas,-123,49
323598568,Crassostrea gigas,-1.62668,49.0636
323599287,Crassostrea gigas,-1.60085,49.13459
323585993,Crassostrea gigas,-2.04247,49.15175
323599245,Crassostrea gigas,-1.60402,49.16775
672449124,Crassostrea gigas,-5.57982,54.39987
323586215,Crassostrea gigas,-2.18629,49.18074
672449073,Crassostrea gigas,-5.45873,54.39019
323586116,Crassostrea gigas,-2.15796,49.18408
672452117,Crassostrea gigas,-0.34171,54.24326
164132470,Crassostrea gigas,7.88759,54.15674
802491542,Crassostrea gigas,-2.01612,49.20049
323598871,Crassostrea gigas,-1.67052,49.24124
323586310,Crassostrea gigas,-2.1158,49.2514
672452419,Crassostrea gigas,-0.10438,54.13008
323602986,Crassostrea gigas,-1.93299,49.28907
323605102,Crassostrea gigas,-1.72218,49.3274
323599025,Crassostrea gigas,-1.77634,49.35406
14892097,Crassostrea gigas,-123.53,49.4
147264606,Crassostrea gigas,-123.61667,49.41667
323600959,Crassostrea gigas,-2.4596,49.47404
672453434,Crassostrea gigas,-5.88911,54.10552
323601116,Crassostrea gigas,-2.55126,49.49904
323593409,Crassostrea gigas,-2.55126,49.5007
115744763,Crassostrea gigas,6.80917,54.05972
614405756,Crassostrea gigas,-124.87,49.56
251616269,Crassostrea gigas,-3.05785,53.80956
323606081,Crassostrea gigas,-1.25769,49.5791
614405759,Crassostrea gigas,-126.58333,49.58333
296569786,Crassostrea gigas,7.15773,53.70647
323605911,Crassostrea gigas,-1.27009,49.58398
323604728,Crassostrea gigas,-1.23474,49.58404
472665194,Crassostrea gigas,8.15323,53.51437
250359835,Crassostrea gigas,-3.04733,53.44736
22198906,Crassostrea gigas,4.19067,53.61508
164132475,Crassostrea gigas,8.57838,53.55751
164132463,Crassostrea gigas,8.5859,53.54854
672451267,Crassostrea gigas,-4.51381,53.41471
251608138,Crassostrea gigas,-4.25973,53.36314
323582677,Crassostrea gigas,-2.13131,49.67069
323606193,Crassostrea gigas,-1.41774,49.70368
672449422,Crassostrea gigas,-6.32893,49.89292
672449753,Crassostrea gigas,-6.34991,49.89393
251611152,Crassostrea gigas,-4.06371,53.28847
796086000,Crassostrea gigas,-4.59596,53.28076
251617023,Crassostrea gigas,-4.08652,53.26379
672443923,Crassostrea gigas,-3.83003,53.33274
796242081,Crassostrea gigas,-4.62289,53.24285
796076304,Crassostrea gigas,-4.08988,53.24036
251607015,Crassostrea gigas,-4.21385,53.31904
796083319,Crassostrea gigas,-4.56769,53.25979
672452728,Crassostrea gigas,-4.57394,53.23897
729690144,Crassostrea gigas,-8.9594,53.20841
672451071,Crassostrea gigas,-4.48688,53.18507
672450080,Crassostrea gigas,-6.31721,49.91765
251617109,Crassostrea gigas,-4.25998,53.16891
251613260,Crassostrea gigas,-4.26432,53.16613
729690152,Crassostrea gigas,-9.07759,53.15645
729690153,Crassostrea gigas,-9.10091,53.14336
251566880,Crassostrea gigas,0.64021,52.97584
672445676,Crassostrea gigas,1.25292,52.94085
729690148,Crassostrea gigas,-9.81062,52.27291
672450669,Crassostrea gigas,-6.3547,49.93155
856751369,Crassostrea gigas,4.4127,52.227
251576433,Crassostrea gigas,1.12103,51.94015
251576631,Crassostrea gigas,1.26433,51.90928
251604506,Crassostrea gigas,-4.52482,52.93878
251614039,Crassostrea gigas,-4.12552,52.83959
251623086,Crassostrea gigas,-4.05747,52.71939
729690150,Crassostrea gigas,-9.15776,52.60686
729690147,Crassostrea gigas,-9.24854,52.58844
729690149,Crassostrea gigas,-9.36613,52.5785
296933195,Crassostrea gigas,-5.08492,50.08659
245770268,Crassostrea gigas,-5.47454,50.11786
672444936,Crassostrea gigas,-5.06346,50.14474
251581445,Crassostrea gigas,1.00401,51.81143
251581620,Crassostrea gigas,0.99405,51.78155
803242170,Crassostrea gigas,0.89565,51.77367
251581774,Crassostrea gigas,0.90487,51.74781
672450745,Crassostrea gigas,-5.10307,51.77467
251577293,Crassostrea gigas,1.15391,51.78636
251576289,Crassostrea gigas,0.94768,51.73775
672445597,Crassostrea gigas,-5.28162,51.73743
251581676,Crassostrea gigas,0.77409,51.74197
672446015,Crassostrea gigas,-3.69535,50.21236
251581697,Crassostrea gigas,0.71568,51.73434
672450808,Crassostrea gigas,-5.16549,51.71363
672444705,Crassostrea gigas,-4.14563,51.54963
251572399,Crassostrea gigas,-5.07681,51.68721
856755211,Crassostrea gigas,3.8483,51.6798
22199039,Crassostrea gigas,3.93,51.529
856729846,Crassostrea gigas,3.6986,51.6731
856755209,Crassostrea gigas,4,51.5166
856755213,Crassostrea gigas,4.089,51.6691
856692409,Crassostrea gigas,4.1549,51.5233
856751231,Crassostrea gigas,3.98958,51.61727
806173845,Crassostrea gigas,0.72277,51.52685
856755215,Crassostrea gigas,3.8517,51.6018
856755200,Crassostrea gigas,4.0531,51.5017
672453102,Crassostrea gigas,-3.97468,51.56612
672445326,Crassostrea gigas,-3.7514,51.50132
672443877,Crassostrea gigas,-3.6783,51.47271
22198468,Crassostrea gigas,2.70446,51.46483
806098861,Crassostrea gigas,0.52675,51.39812
803441234,Crassostrea gigas,1.25856,51.39624
803444213,Crassostrea gigas,1.03212,51.38613
672453041,Crassostrea gigas,-4.20276,51.53778
796255479,Crassostrea gigas,-3.22142,51.37718
250359574,Crassostrea gigas,-3.95144,50.30459
672447626,Crassostrea gigas,-3.1201,51.37685
251587778,Crassostrea gigas,0.94605,51.36674
251587615,Crassostrea gigas,1.38021,51.32982
672444973,Crassostrea gigas,-4.1765,51.19829
672445040,Crassostrea gigas,-3.31862,51.18412
250365950,Crassostrea gigas,-4.07377,50.30787
672451674,Crassostrea gigas,1.38542,51.14704
672444811,Crassostrea gigas,-2.1279,50.60511
802244495,Crassostrea gigas,1.31719,51.11301
22198641,Crassostrea gigas,2.68096,51.11299
672447815,Crassostrea gigas,-4.26552,51.0284
672445307,Crassostrea gigas,-4.92832,50.56656
672443469,Crassostrea gigas,-4.39118,50.36294
250366438,Crassostrea gigas,-3.55646,50.42388
250366592,Crassostrea gigas,-4.12936,50.35724
672446894,Crassostrea gigas,-4.44551,50.35281
251556416,Crassostrea gigas,-2.49432,50.5731
245770168,Crassostrea gigas,-4.6356,50.33247
